Dish Name,Description,Spice,Prep Time,Views,Rating,Number of Votes,Serves,Dietary Info,Cook Time,Ingredients,Instructions
Jeera Aloo,Cumin Potatoes,medium,Prep 15 mins,95509,3.6,70,6,['VEGETARIAN'], 10 mins,"1) 4 potatoes, boiled and cubed
2) 2 tbsp vegetable oil
3) 1 tbsp coriander seeds
4) 2 tsp cumin seeds
5) 2 green chillies, slit lengthways
6) 3cm fresh ginger, sliced very thinly
7) 1 tsp red chilli powder
8) ¼ tsp turmeric powder
9) salt to taste
10) 2 tsp mango powder (amchoor powder)
11) handful of coriander leaves, chopped
","1) Boil the potatoes gently with the skin on for about 10 minutes. Once cooled peel and cut them into 4cm cubes and set to one side.
2) Dry roast the coriander seeds and 1 tsp of cumin seeds until fragrant then remove from the heat and cool before crushing.
3) Heat oil and add remaining cumin seeds once sizzling and fragrant, stir in the sliced green chillies and sliced ginger. Saute for a few seconds, reduce the heat and then add the roasted spice powder, turmeric powder, chilli powder and salt.
4) Add the boiled and cubed potatoes. Mix well so that it is well coated with the seasoning.
5) Cook on a gentle heat for 10 minutes stirring occasionally - you don't want them to turn into mash.
6) Add the amchoor powder and garnish with coriander leaves.
"
Cabbage Thoran,Cabbage Curry,hot,Prep 10 mins,58451,4.3,30,4,['VEGETARIAN'], 20 mins,"1) 3 tbsp coconut oil
2) 2 tsp black mustard seeds
3) 2 tbsp chopped, fresh curry leaves
4) 1 tsp cumin seeds
5) 2 dried Kashmiri chillies, each broken into smaller pieces
6) 5cm ginger piece, finely grated
7) ½ tsp turmeric
8) 1 tsp salt
9) ½ tsp ground black pepper
10) 250g cabbage, shredded
11) 2 fresh green chillies, sliced
12) 100g fresh coconut, grated
","1) Heat the oil in a large saucepan or karahi. When it is hot, add the mustard seeds followed by the curry leaves, cumin seeds and dried chillies.
2) Stir for about 30 seconds, then add the grated ginger, turmeric, salt and black pepper and fry for 30 seconds.
3) Stir in the cabbage and cook over a medium heat for 5-7 minutes. You may need to add a splash of water.
4) Once the cabbage is tender, stir in the green chillies and coconut. Heat through for a few minutes and serve.
5) Perfect with some fresh boiled rice.
"
Keralan Fish Curry,South Indian fish curry,hot,Prep 10 mins,146307,3.7,137,6,['LACTOSE-FREE'], 15 mins,"1) 750g firm white fish cut into chunks
2) ½ tsp turmeric
3) ½ tsp salt
4) 1 tbsp Coconut oil
5) 1 tsp mustard seeds
6) 20 curry leaves
7) 5 shallots, finely sliced
8) 4 garlic cloves, finely sliced
9) 3cm piece of ginger, finely sliced
10) 1-2 green chilli, finely sliced
11) 1 tbsp Kashmiri chilli powder (this can be reduced to suit your taste, if unsure use 1tsp)
12) ½ tsp turmeric
13) 4 tomatoes, chopped
14) 400ml tin coconut milk
15) Handful coriander, chopped
","1) Coat the fish in salt and turmeric
2) Heat a tbsp of coconut oil in a shallow large based pan.
3) Add the mustard seeds with the curry leaves till the seeds start to pop.
4) Add the sliced shallots, garlic, ginger and chilli, and cook on a medium heat for 5 minutes, till softened.
5) Mix together the chilli powder and turmeric with a splash of water to make a paste (this stops the turmeric burning), and then stir into the pan.
6) Add the coconut milk and heat through. When you are ready to serve add the chopped tomatoes and stir in the fish. Cook on a gentle heat for about 5 minutes until the fish is cooked through.
7) Check the seasoning then sprinkled with fresh chopped coriander and some with fragrant basmati rice.
"
Masala Machchi,Spiced Salmon,medium,Prep 10 mins,36662,3.4,25,2,['LACTOSE-FREE'], 10 mins,"1) 2 pieces of salmon
","1) Heat oven to 180°C.
"
Mixed Vegetable Sabjee,Mixed Vegetable Curry,medium,Prep 10 mins,80099,3.4,59,4,['VEGETARIAN'], 20 mins,"1) 1 potato, diced
2) 1 pepper, diced
3) 5 mushrooms, quatered
4) 1 carrot, diced
5) 50g frozen peas
6) 2 tbsp mustard oil
7) 1 tsp mustard seeds
8) 1 tsp cumin seeds
9) 1 onion, finely diced
10) 200g tomatoes
11) 2 garlic cloves, finely chopped
12) 1 tbsp ginger, grated
13) 1 tsp salt
14) 1 tsp turmeric
15) 1 tsp dried fenugreek leaves
16) 1 chilli, finely chopped
17) 1 tsp garam masala
18) handful of fresh coriander, chopped
","1) Heat the oil in a karahi or wok and add the mustard seeds, when sizzling add the cumin seeds until fragrant.
2) Add the onions and garlic then fry until soft and lightly browned (about 10 minutes)
3) Reduce the heat and add the tomatoes, ginger, salt, turmeric, chilli and fenugreek. Continue to cook so the onions and tomatoes melt together to create a thick, aromatic masala paste.
4) Add the chopped vegetables and stir to coat with the sauce.
5) Reduce the heat cover the pan with the lid and leave to cook for about 10-20 minutes, stirring occasionally until the vegetables are cooked through.
6) Once cooked sprinkle with garam masala and fresh coriander before serving.
"
Simply Spiced Seasonal Vegetables,Tarkari Handi,medium,Prep 20 mins,45972,3.8,34,4,['VEGETARIAN'], 10 mins,"1) 1 tbsp oil
2) 1 tsp cumin seeds
3) 4 mushrooms, sliced
4) 5 florets cauliflower
5) 5 florets broccoli
6) 6 baby corn, chopped into 3 pieces
7) 5 asparagus, chopped into 3 pieces
8) 10 green beans, chopped into 3 pieces
9) 1 tsp butter
10) handful spinach
11) salt to taste
12) pinch of crushed black pepper
13) juice half a lemon
","1) Heat water in a pan and blanch the cauliflower, broccoli, baby corn, asparagus and green beans for a minute or so just to soften. Remove and run under cold water.
2) Heat oil in a frying pan and add cumin seeds.
3) Once fragrant add the mushrooms and saute for just a minute.
4) Add the remaining vegetables except the spinach.
5) Toss the vegetables to heat thoroughly for a few minutes.
6) Add the butter then add the spinach. Toss all the vegetables together.
7) Add a little salt and crushed black pepper.
8) Squeeze in a little lemon juice and remove from the heat, check the seasoning and serve.
"
Aloo Gobi,Potato Cauliflower Vegetable Curry,medium,Prep 10 mins,164413,3.9,102,4,['VEGETARIAN'], 30 mins,"1) 1 small cauliflower
2) 2 potatoes, peeled cut into 4cm cubes
3) 2 tbsp mustard oil
4) 1 tsp mustard seeds
5) 1 tsp cumin seeds
6) 1 onion, finely chopped
7) 2 cloves garlic, finely chopped
8) 200g/½ tin tomatoes
9) 1 tbsp ginger, grated
10) 1 tsp salt
11) 1 tsp turmeric
12) 1 chilli, finely chopped
13) 1 tsp dried fenugreek
14) 1 tsp garam masala
15) Handful chopped fresh coriander
","1) Prepare your cauliflower by cutting into florets, wash and drain. Ensure it's thoroughly dry before cooking.
2) Heat the oil in a karahi and add the mustard seeds. Once sizzling add the cumin seeds.
3) Add the onions and garlic then fry until soft and lightly browned.
4) Once browned reduce the heat a little and add the tomatoes, ginger, salt, turmeric, chilli and dried fenugreek leaves.
5) Continue to cook so the onions and tomatoes melt together to create a thick, aromatic masala paste.
6) Add the potatoes and stir to coat with the sauce.
7) Reduce the heat, cover the pan with the lid and leave to cook for 10 minutes, stirring occasionally.
8) Add the cauliflower and stir into the sauce to coat. Replace lid and leave to cook for a further 25-30 minutes until cooked.
9) Turn the vegetables occasionally but do not stir too vigorously as you don't want the cauliflower or potato to turn mushy. Once cooked sprinkle with garam masala and fresh coriander before serving.
"
Ajwainy Monkfish,Fish in a carom spiced yoghurt,medium,Prep 5 mins,34441,4.0,20,4,['WHEAT-FREE'], 10 mins,"1) 500g monkfish, in thick chunks
","1) Put the ginger and garlic into a pestle and mortar and crush them to a paste.
2) Mix this and all the remaining ingredients for the first marinade in a large bowl and add the pieces of monkfish. Leave this for half an hour while you prepare the second marinade.
"
Aloo Muttar,Pea and Potato Curry,medium,Prep 10 mins,65456,3.8,66,4,['VEGETARIAN'], 20 mins,"1) 1 tbsp oil for cooking
2) 1 onion, finely chopped
3) 3 garlic cloves, chopped
4) 3cm piece of ginger, grated
5) 250g tinned plum tomatoes
6) 1 green chilli, finely chopped
7) 1 tsp salt
8) 1 tsp fenugreek powder (methi)
9) 1 tsp turmeric
10) 1 tsp chilli powder
11) 1 or 2 potatoes, peeled and chopped into 3cm cubes
12) 200g frozen peas
13) 1 tsp garam masala
14) Handful of fresh coriander, chopped
","1) Heat oil and add onion and after a few minutes stir in the garlic. Cook for about 10 minutes until the onions are soft and turning golden.
2) When the onions are cooked add the tomatoes (which you can whizz up before hand), grated ginger, salt, turmeric, fenugreek and chilli.
3) Stir together and cook the sauce until the tomatoes and onion melt together creating a thick masala paste.
4) Once it is thick and shiny add the pototes. Stir to coat them in the sauce then put the lid on the pan and reduce the heat. Leave to cook for 5-10 minutes before adding the frozen peas.
5) Leave to cook for another 10 minutes until the potatoes are soft. (Note: if your potatoes stick just add a splash of water. Don't stir too much as you dont want the potatoes to mash).
6) Pour in enough hot water to get the consistency you want. Sprinkle with garam masala and fresh coriander and serve with roti or rice.
"
Aloo Tama Bodi,Black eyed bean and bamboo shoot stew,mild,Prep 10 mins,3981,3.1,8,4,['VEGETARIAN'], 20 mins,"1) 2 tbsp ghee or oil
2) 1 onion, finely chopped
3) 2 garlic cloves, minced
4) 5cm piece of ginger, grated
5) 1 tsp coriander seeds, crushed
6) 1 green chilli (optional)
7) ½ tsp red chilli powder
8) ½ tsp turmeric
9) 200g red lentils, washed
10) 700ml water
11) 1 tsp salt
","1) Heat the ghee or oil in a large frying pan and cook the onions until translucent but not brown.
2) Turn the heat to low and add in the garlic, ginger, chopped chilli (if using) crushed coriander seeds, red chilli powder and turmeric. Stir to combine for about 3 minutes or so.
3) Add the red lentils and mix with the onion mixture.
4) Pour thd water in and bring it to a boil, add the salt and reduce heat to a simmer for about 15 minutes or until the lentils are tender.
5) Remove from the heat and stir in the fresh coriander.
"
Amchoor Stuffed Bangun,Spice Stuffed Baby Aubergines,medium,Prep 5 mins,28613,4.9,9,4,['VEGETARIAN'], 25 mins,"1) 1 tsp coriander seeds, crushed
2) ½ tsp cumin seeds crushed
3) ½ tsp turmeric
4) ½ tsp chilli powder
5) 1 tsp mango powder (amchoor)
6) ½ tsp salt
7) 1 tsp sugar
8) 8 baby aubergine
9) 3 tbsp mustard oil
","1) Mix all the spices & salt together in a bowl.
2) Slit the aubergines with a cross.
3) Heat oil in a heavy based pan with a lid.
4) Stuff the spice mix into the inside flesh of the auberines.
5) Rub the outside of the aubergines with any remaining spice mix.
6) Place them in the pan and cover the pan. Leave them to cook on a gentle heat.
7) Turn over using some tongs after about 10 minutes. Turn again after another 10 minutes. Cook them for about 25-30 mins until they are soft and tender.
"
Anda di Purjee (Bhurji),Indian Scrambled Eggs,mild,Prep 5 mins,39316,4.5,21,4,['VEGETARIAN'], 10 mins,"1) 2 tsp butter
2) 8 large free range eggs
3) 3 spring onions, sliced including green bits
4) 3 mushrooms, diced
5) 1 tomato, chopped
6) 2 tsp garam masala
7) 1 or 2 chillis chopped
8) ½ tsp chilli powder
9) 1 tsp salt
10) Handful of fresh coriander, chopped
","1) Break the eggs into a bowl and whisk.
2) Heat butter in a frying pan.
3) Add the sliced onions and fry to soften.
4) Add the mushrooms and tomatoes (and other veg) and fry for a few minutes to cook through.
5) Add the garam masala, chopped chilli, chilli powder, salt and stir for a second then add eggs and stir to scramble.
6) Remove from heat and add coriander.
"
Asparagus and Pea Soup with Parsnip Crisps,Healthy asparagus and pea soup,none,Prep 10 mins,21844,4.5,11,4,['VEGETARIAN'], 30 mins,"1) 1 tbsp butter
2) 2 cloves garlic, finely chopped
3) 1 onion, chopped
4) 1 tbsp plain flour
5) 340g asparagus
6) 250g peas
7) pinch cracked black pepper, or to taste
8) Salt to taste
","1) Heat butter in a pan and add the garlic. Cook to soften then stir in the chopped onion.
2) Stir and leave to cook for 2 or 3 minutes.
3) Stir in flour and roast for a minute or so to lose the rawness.
4) Add 500ml of water and stir ensuring there are no lumps.
5) Add the asparagus, peas, salt and pepper and bring to the boil
6) Leave the pan to simmer until asparagus has cooked (about 15-20 minutes).
7) Pour the soup into a blender and blitz until smooth.
8) Pour through a strainer and return to the heat for a few minutes, check the seasoning then remove from the heat.
"
Asparagus with Indian Spices,15 mins,mild,Prep 5 mins,76735,3.5,71,4,['VEGETARIAN'], 10 mins,"1) 2 garlic cloves
2) 3cm piece ginger
3) 500g Asparagus, chopped
4) 3 tsp rapeseed oil
5) 1 tsp cumin seeds
6) ½ tsp fennel seeds
7) 1 onion, sliced
8) 1 green chillies, finely chopped
9) 1 tsp Kashmiri chilli powder
10) ½ tsp amchoor powder (dried mango powder)
11) 3 tomatoes, chopped finely
12) Salt to taste
","1) Crush the ginger and garlic in a pestle and mortar to a paste.
2) Heat the oil in pan and on a medium heat add the cumin and fennel seeds.
3) Once sizzling and fragrant add sliced onions with the chopped green chilies and crushed ginger and garlic. Cook for about 5 minutes.
4) Add the chopped asparagus and sprinkle in the salt, red chili powder and amchoor.
5) Add chopped tomatoes and cook for about 2-3 minutes.
"
Athrak Soup,Ginger soup,medium,Prep 5 mins,120518,3.6,70,4,['VEGETARIAN'], 15 mins,"1) 5cm piece of fresh ginger, roughly chopped
2) 1 fresh chilli, chopped
3) 3 cloves of garlic
4) 200g of tinned tomatoes
5) 200ml water
","1) Put all the ginger, chilli, garlic, into a blender and blend to a paste. Then add the tomatoes and water.
"
Avocado Salsa,15 mins,hot,Prep 10 mins,39046,4.0,15,6,['VEGETARIAN'], 5 mins,"1) 1 ripe avocado
2) 1 red onion
3) 1 chilli, finely chopped
4) Juice from 1 lemon
5) Small handful of fresh coriander, chopped
","1) Cut the avocado and onion into very small dices and place in a bowl.
2) Add chilli, lemon juice and coriander and stir together.
3) Leave for a few minutes and serve.
"
Black Chana Masala,Kala Chana,medium,Prep 20 mins,30155,3.6,18,4,['VEGETARIAN'], 40 mins,"1) 175g dried black chickpeas (400g tin cooked chickpeas)
2) 2 tbsp oil/ghee
3) 1 tsp cumin seeds
4) 1 large onion, finely minced
5) 5cm piece ginger, minced
6) 4 garlic cloves, minced
7) 1–2 green chilis, minced
8) 200g chopped tomatoes tinned/fresh
9) 1 tsp salt
10) 1 tsp chilli powder
11) ½ tsp turmeric
12) 1 tsp kasoori methi (fenugreek leaves)
13) 1 tsp coriander powder
14) 1 tsp garam masala
15) Handful coriander chopped
16) Juice of 1 lemon
","1) Wash the dried black chickpeas and soak in 1.5L of water overnight or in boiling water for a minimum 6 hours.
2) Drain the chickpeas and rinse in fresh water.
3) Heat oil in a pressure cooker and add cumin seeds. When they become aromatic add the finely chopped onions.
4) Saute until they are golden brown then add garlic and stir for a minute or two.
5) Pour in the tomatoes then add in the ginger and chillies. Mix together until the tomatoes start to break down and the masala thickens a little.
6) Stir in the salt, chilli powder, turmeric, kasoori methi, coriander powder and mix well.
7) Once the tomatoes have broken down a little, the spices and onions have melted together to create a thick paste add the black chickpeas and 750ml water.
8) Put the lid on the pressure cooker and cook under high pressure for 30 minutes. If you are doing this on the stove top in a regular pan this will take about 2 hours to cook.
9) After 30 minutes, let the pressure release before opening. Check the chana is cooked and tender – these do stay a little harder than white chickpeas.
10) Bring to a simmer and if you want more of a gravy you can add water and let it simmer for a while.
11) Once you are happy with the consistency add the garam masala and fresh coriander. I like to squeeze in some lemon juice too before serving.
"
Black Lentil and Split Chickpea Dhal,Mahaar Chole di Dhal,medium,Prep 10 mins,57420,3.7,39,4,['VEGETARIAN'], 40 mins,"1) 100g split chickpeas (chana)
2) 100g urid beans, washed and checked for stones
3) 1L water
4) 1 tsp salt
","1) Put the lentils in the pressure cooker and add 1L of cold water.
2) Add 1 tsp of salt put the lid on the pan and bring to the boil. Let the pan come to temperature and whistle once, then reduce the heat and leave to simmer for 30 minutes. After this time remove from the heat and leave the pan to cool - DO NOT REMOVE THE LID.
"
Brown Masala Sauce,Daag,medium,Prep 10 mins,81062,3.8,58,8,['LACTOSE-FREE'], 40 mins,"1) 2 tbsp of oil
2) 4 onions, finely diced
3) 6 cloves of garlic, finely chopped
4) 800g plum tomatoes
5) 8cm piece of fresh ginger, grated
6) salt to taste
7) 1½ tsp turmeric
8) Handful of coriander stalks, finely chopped
9) 3 fresh green chillies, finely chopped
10) ½ tsp chilli powder
11) 2 tsp of garam masala
12) Handful of coriander leaves, chopped
","1) Heat oil in a pan and add the onion. Fry on a high heat for a few minutes then reduce the heat and cook gently.
2) Add the finely chopped garlic and continue to cook gently for at least 30 minutes until the onions turn a really dark golden brown.
3) Once brown and caramelised add the tomatoes, ginger, salt, turmeric, coriander stalks and chopped chillies and chilli powder.
4) Let the onions, tomatoes and spices melt together creating a thick aromatic masala paste. This will take about 5-10 minutes so be patient!
5) This masala can then be used for your dish or you can cool it down and freeze it in tubs. Just defrost as and when needed.
"
Caribbean Chicken Curry Stew,Chicken Stew with Burnt Sugar,hot,Prep 10 mins,14149,3.8,17,4,['LACTOSE-FREE'], 30 mins,"1) 1 whole chicken or 8 pieces of chicken on the bone
","1) Prep your chicken by cutting it into thigh, drumsticks, wings and breasts into pieces leaving the skin on.
2) Mince the ginger, garlic, salt, black pepper, green part of the spring onion, parsley, coriander and scotch bonnet (if using) but you can opt for a milder chilli if you prefer.
3) Marinade your chicken with the skin on for approx. 3 hours
4) Heat a pan with the oil and add the sugar. Let it melt until it starts to bubble and goes dark in colour.
5) It will turn frothy and look almost burnt, then stir in the curry powder.
6) Once sizzling and aromatic place the marinated chicken into the pan to brown. You may have to do this in batches. Let it darken and crisp.
7) Pour in the water or stock to cover the chicken and add a bay leaf, 2 sprigs of thyme a whole scotch bonnet and bring to the boil.
8) Reduce to a simmer and leave to cook for 30 minutes.
9) Stir in a shot of rum and simmer for another few minutes.
10) The chicken should be fragrant and falling away from the bone.
11) Slice the onion whites and sprinkle over the chicken - serve with some rice and peas.
"
